รหัสนักศึกษา,ชื่อ นามสกุล,กลุ่ม,การเปลี่ยนชมรม
680710170,,0,บ่าย ช่วงที่ 1: ปิงปอง → MCCC
680710180,,0,เช้า ช่วงที่ 1: ฟุตบอล → บาสเก็ตบอล
680710200,,0,เช้า ช่วงที่ 2: บาสเก็ตบอล → เทนนิส
680710210,,0,บ่าย ช่วงที่ 4: IMSU → Research
680710220,,0,"เช้า ช่วงที่ 4: แชร์บอล → ฟุตบอล, บ่าย ช่วงที่ 2: cheerleader → IMSU"
680710230,,0,"เช้า ช่วงที่ 1: เทนนิส → MUAN, เช้า ช่วงที่ 2: บาสเก็ตบอล → วอลเลย์บอล, บ่าย ช่วงที่ 1: cheerleader → Libir"
680710240,,0,"เช้า ช่วงที่ 1: CHORUS → ดนตรีไทย, เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → วอลเลย์บอล, เช้า ช่วงที่ 3: ฟุตบอล → ART, บ่าย ช่วงที่ 1: ปิงปอง → cheerleader, บ่าย ช่วงที่ 3: ดนตรีสากล → coverdance"
680710161,,1,บ่าย ช่วงที่ 2: E-sport → coverdance
680710191,,1,บ่าย ช่วงที่ 4: IMSU → coverdance
680710201,,1,เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → เปตอง
680710211,,1,"เช้า ช่วงที่ 2: DEVIL → CHORUS, เช้า ช่วงที่ 3: เทนนิส → วอลเลย์บอล"
680710221,,1,"เช้า ช่วงที่ 2: ART → ดนตรีไทย, เช้า ช่วงที่ 3: วอลเลย์บอล → วิ่ง, บ่าย ช่วงที่ 3: แบตมินตัน → Bridge"
680710231,,1,"เช้า ช่วงที่ 1: เทนนิส → DEVIL, เช้า ช่วงที่ 3: บาสเก็ตบอล → CHORUS, บ่าย ช่วงที่ 1: ปิงปอง → ดนตรีสากล"
680710241,,1,"เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → เทนนิส, เช้า ช่วงที่ 4: วิ่ง → เปตอง, บ่าย ช่วงที่ 1: Research → แบตมินตัน"
680710152,,2,บ่าย ช่วงที่ 2: E-sport → MCCC
680710162,,2,เช้า ช่วงที่ 2: วอลเลย์บอล → ดนตรีไทย
680710172,,2,"เช้า ช่วงที่ 2: วอลเลย์บอล → เปตอง, บ่าย ช่วงที่ 2: E-sport → coverdance"
680710192,,2,บ่าย ช่วงที่ 1: ปิงปอง → E-sport
680710202,,2,"บ่าย ช่วงที่ 3: Research → cheerleader, บ่าย ช่วงที่ 4: IMSU → แบตมินตัน"
680710212,,2,"เช้า ช่วงที่ 4: แชร์บอล → Swimming (ชมรมว่ายน้ำและโปโลน้ำ), บ่าย ช่วงที่ 4: ดนตรีสากล → พอช."
680710232,,2,"เช้า ช่วงที่ 1: ฟุตบอล → ดนตรีไทย, เช้า ช่วงที่ 3: บาสเก็ตบอล → วิ่ง, เช้า ช่วงที่ 4: เทนนิส → ART, บ่าย ช่วงที่ 3: แบตมินตัน → ปิงปอง, บ่าย ช่วงที่ 4: หมอน้อย → Libir"
680710242,,2,"เช้า ช่วงที่ 2: วิ่ง → เปตอง, บ่าย ช่วงที่ 2: cheerleader → ดนตรีสากล"
680710123,,3,เช้า ช่วงที่ 2: วอลเลย์บอล → เปตอง
680710173,,3,เช้า ช่วงที่ 2: วอลเลย์บอล → ดนตรีไทย
680710183,,3,เช้า ช่วงที่ 2: ART → ฟุตบอล
680710193,,3,บ่าย ช่วงที่ 3: Research → Libir
680710203,,3,"เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → บาสเก็ตบอล, บ่าย ช่วงที่ 1: ดนตรีสากล → Bridge"
680710213,,3,เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → เปตอง
680710223,,3,"เช้า ช่วงที่ 3: DEVIL → ดนตรีไทย, บ่าย ช่วงที่ 1: Bridge → แบตมินตัน, บ่าย ช่วงที่ 3: E-sport → MCCC"
680710233,,3,"เช้า ช่วงที่ 1: วอลเลย์บอล → DEVIL, เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → MUAN, เช้า ช่วงที่ 4: DEVIL → CHORUS, บ่าย ช่วงที่ 4: MCCC → Bridge"
680710243,,3,"เช้า ช่วงที่ 2: วิ่ง → ART, เช้า ช่วงที่ 3: ฟุตบอล → CHORUS, บ่าย ช่วงที่ 3: cheerleader → IMSU"
680710164,,4,เช้า ช่วงที่ 1: ฟุตบอล → ดนตรีไทย
680710184,,4,เช้า ช่วงที่ 3: วอลเลย์บอล → วิ่ง
680710194,,4,"เช้า ช่วงที่ 3: วอลเลย์บอล → MUAN, บ่าย ช่วงที่ 3: E-sport → Bridge"
680710214,,4,"เช้า ช่วงที่ 1: ART → MUAN, เช้า ช่วงที่ 4: แชร์บอล → วอลเลย์บอล, บ่าย ช่วงที่ 4: ดนตรีสากล → cheerleader"
680710224,,4,"เช้า ช่วงที่ 2: DEVIL → Swimming (ชมรมว่ายน้ำและโปโลน้ำ), เช้า ช่วงที่ 4: เทนนิส → MUAN, บ่าย ช่วงที่ 1: Bridge → coverdance"
680710234,,4,"เช้า ช่วงที่ 2: บาสเก็ตบอล → เปตอง, เช้า ช่วงที่ 3: วอลเลย์บอล → MUAN, เช้า ช่วงที่ 4: ดนตรีไทย → CHORUS, บ่าย ช่วงที่ 3: แบตมินตัน → Research, บ่าย ช่วงที่ 4: IMSU → Bridge"
680710244,,4,"เช้า ช่วงที่ 1: CHORUS → บาสเก็ตบอล, เช้า ช่วงที่ 2: วอลเลย์บอล → MUAN, เช้า ช่วงที่ 3: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → วิ่ง"
680710165,,5,เช้า ช่วงที่ 4: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → CHORUS
680710185,,5,เช้า ช่วงที่ 1: ฟุตบอล → ดนตรีไทย
680710195,,5,เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → ฟุตบอล
680710205,,5,"บ่าย ช่วงที่ 1: ปิงปอง → cheerleader, บ่าย ช่วงที่ 2: E-sport → แบตมินตัน"
680710215,,5,"เช้า ช่วงที่ 3: วอลเลย์บอล → ART, บ่าย ช่วงที่ 1: ดนตรีสากล → Bridge"
680710225,,5,เช้า ช่วงที่ 2: บาสเก็ตบอล → เปตอง
680710235,,5,"เช้า ช่วงที่ 3: ฟุตบอล → ดนตรีไทย, เช้า ช่วงที่ 4: แชร์บอล → Swimming (ชมรมว่ายน้ำและโปโลน้ำ), บ่าย ช่วงที่ 1: ปิงปอง → หมอน้อย, บ่าย ช่วงที่ 3: แบตมินตัน → IMSU"
680710245,,5,"เช้า ช่วงที่ 2: CHORUS → บาสเก็ตบอล, เช้า ช่วงที่ 3: DEVIL → เทนนิส, บ่าย ช่วงที่ 2: Research → cheerleader, บ่าย ช่วงที่ 4: IMSU → แบตมินตัน"
680710166,,6,บ่าย ช่วงที่ 1: ดนตรีสากล → หมอน้อย
680710196,,6,เช้า ช่วงที่ 3: ฟุตบอล → ดนตรีไทย
680710216,,6,"เช้า ช่วงที่ 1: แชร์บอล → เทนนิส, เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → วอลเลย์บอล"
680710226,,6,"เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → ART, เช้า ช่วงที่ 3: บาสเก็ตบอล → แชร์บอล, บ่าย ช่วงที่ 4: IMSU → cheerleader"
680710236,,6,"เช้า ช่วงที่ 1: แชร์บอล → MUAN, เช้า ช่วงที่ 2: วิ่ง → Swimming (ชมรมว่ายน้ำและโปโลน้ำ), เช้า ช่วงที่ 3: เทนนิส → เปตอง"
680710246,,6,"เช้า ช่วงที่ 1: เทนนิส → DEVIL, เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → ฟุตบอล, เช้า ช่วงที่ 3: วอลเลย์บอล → ART, เช้า ช่วงที่ 4: ดนตรีไทย → เปตอง, บ่าย ช่วงที่ 2: MCCC → CMSO, บ่าย ช่วงที่ 3: cheerleader → หมอน้อย"
680710147,,7,เช้า ช่วงที่ 2: วอลเลย์บอล → ดนตรีไทย
680710157,,7,เช้า ช่วงที่ 4: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → เปตอง
680710167,,7,บ่าย ช่วงที่ 1: ปิงปอง → MCCC
680710177,,7,"เช้า ช่วงที่ 3: บาสเก็ตบอล → ART, บ่าย ช่วงที่ 3: E-sport → MCCC"
680710187,,7,"เช้า ช่วงที่ 1: ฟุตบอล → เทนนิส, เช้า ช่วงที่ 3: บาสเก็ตบอล → MUAN"
680710207,,7,"เช้า ช่วงที่ 4: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → MUAN, บ่าย ช่วงที่ 2: cheerleader → ดนตรีสากล, บ่าย ช่วงที่ 3: E-sport → Research"
680710217,,7,"เช้า ช่วงที่ 3: เทนนิส → ART, บ่าย ช่วงที่ 1: ดนตรีสากล → cheerleader"
680710227,,7,"เช้า ช่วงที่ 2: วอลเลย์บอล → MUAN, บ่าย ช่วงที่ 2: E-sport → coverdance, บ่าย ช่วงที่ 4: หมอน้อย → ปิงปอง"
680710237,,7,"เช้า ช่วงที่ 2: CHORUS → วิ่ง, บ่าย ช่วงที่ 1: ดนตรีสากล → Research, บ่าย ช่วงที่ 4: cheerleader → Bridge"
680710247,,7,"เช้า ช่วงที่ 1: CHORUS → บาสเก็ตบอล, เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → วอลเลย์บอล, เช้า ช่วงที่ 4: DEVIL → แชร์บอล, บ่าย ช่วงที่ 3: Research → MCCC"
680710158,,8,เช้า ช่วงที่ 2: บาสเก็ตบอล → ดนตรีไทย
680710178,,8,เช้า ช่วงที่ 2: บาสเก็ตบอล → วอลเลย์บอล
680710188,,8,เช้า ช่วงที่ 3: DEVIL → CHORUS
680710198,,8,เช้า ช่วงที่ 4: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → เปตอง
680710208,,8,"เช้า ช่วงที่ 1: ฟุตบอล → MUAN, เช้า ช่วงที่ 2: CHORUS → บาสเก็ตบอล, บ่าย ช่วงที่ 2: Research → ปิงปอง"
680710218,,8,"เช้า ช่วงที่ 1: ART → เปตอง, เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → MUAN, เช้า ช่วงที่ 3: บาสเก็ตบอล → วิ่ง, บ่าย ช่วงที่ 2: Research → IMSU"
680710228,,8,"เช้า ช่วงที่ 2: วอลเลย์บอล → MUAN, เช้า ช่วงที่ 3: DEVIL → ฟุตบอล"
680710238,,8,"เช้า ช่วงที่ 4: เทนนิส → บาสเก็ตบอล, บ่าย ช่วงที่ 1: Research → หมอน้อย"
680710248,,8,"เช้า ช่วงที่ 2: บาสเก็ตบอล → เทนนิส, เช้า ช่วงที่ 3: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → MUAN, เช้า ช่วงที่ 4: แชร์บอล → ART, บ่าย ช่วงที่ 2: E-sport → IMSU, บ่าย ช่วงที่ 4: ดนตรีสากล → แบตมินตัน"
680710159,,9,"เช้า ช่วงที่ 2: วอลเลย์บอล → เปตอง, เช้า ช่วงที่ 4: เปตอง → CHORUS"
680710179,,9,"เช้า ช่วงที่ 2: วอลเลย์บอล → เปตอง, บ่าย ช่วงที่ 2: E-sport → ดนตรีสากล"
680710189,,9,"เช้า ช่วงที่ 2: DEVIL → วอลเลย์บอล, บ่าย ช่วงที่ 3: E-sport → Libir"
680710209,,9,"บ่าย ช่วงที่ 1: ดนตรีสากล → แบตมินตัน, บ่าย ช่วงที่ 3: Research → cheerleader"
680710219,,9,"เช้า ช่วงที่ 1: วอลเลย์บอล → เปตอง, บ่าย ช่วงที่ 3: E-sport → พอช., บ่าย ช่วงที่ 4: MCCC → ปิงปอง"
680710229,,9,"เช้า ช่วงที่ 2: บาสเก็ตบอล → เทนนิส, เช้า ช่วงที่ 3: ฟุตบอล → ART"
680710239,,9,"เช้า ช่วงที่ 1: แชร์บอล → เปตอง, เช้า ช่วงที่ 3: บาสเก็ตบอล → วอลเลย์บอล, บ่าย ช่วงที่ 1: ดนตรีสากล → Bridge, บ่าย ช่วงที่ 3: แบตมินตัน → Libir"
680710249,,9,"เช้า ช่วงที่ 3: บาสเก็ตบอล → แชร์บอล, เช้า ช่วงที่ 4: ดนตรีไทย → MUAN, บ่าย ช่วงที่ 1: cheerleader → CMSO, บ่าย ช่วงที่ 2: E-sport → Bridge, บ่าย ช่วงที่ 3: แบตมินตัน → MCCC"
